angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,0.01,0.99,0.0,0.0,43:34
0.0,0.0,0.0,0.06,0.89,0.04,0.01,43:36
0.01,0.0,0.0,0.18,0.74,0.03,0.05,43:38
0.58,0.02,0.0,0.03,0.3,0.05,0.02,43:4
0.24,0.0,0.0,0.04,0.63,0.08,0.0,43:42
0.0,0.0,0.0,0.97,0.01,0.02,0.0,43:44
0.0,0.0,0.0,0.65,0.34,0.01,0.0,43:46
0.0,0.0,0.0,0.0,0.95,0.05,0.0,43:48
0.02,0.0,0.0,0.03,0.88,0.04,0.02,43:5
0.0,0.0,0.0,0.97,0.03,0.0,0.0,43:52
0.07,0.19,0.0,0.03,0.64,0.06,0.0,43:56
0.0,0.0,0.0,0.82,0.17,0.0,0.0,44:8
0.0,0.0,0.0,0.01,0.73,0.25,0.0,44:1
0.0,0.0,0.0,0.04,0.84,0.11,0.0,44:12
0.0,0.0,0.0,0.0,0.9,0.1,0.0,44:16
0.0,0.0,0.0,0.0,0.96,0.04,0.0,44:18
0.0,0.0,0.0,0.0,1.0,0.0,0.0,44:2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,44:22
0.0,0.0,0.0,0.0,1.0,0.0,0.0,44:24
0.0,0.0,0.0,0.0,0.98,0.02,0.0,44:28
0.0,0.0,0.0,0.01,0.99,0.01,0.0,44:36
0.0,0.0,0.0,0.02,0.68,0.29,0.0,44:38
0.0,0.0,0.0,0.01,0.38,0.61,0.0,44:4
0.18,0.0,0.03,0.14,0.46,0.15,0.04,44:42
0.0,0.0,0.0,0.0,0.03,0.96,0.0,44:44
0.0,0.0,0.0,0.01,0.01,0.98,0.0,44:46
0.0,0.0,0.0,0.07,0.07,0.86,0.0,44:48
0.0,0.0,0.0,0.01,0.03,0.96,0.0,44:5
0.0,0.0,0.0,0.14,0.85,0.0,0.0,44:52
0.0,0.0,0.0,0.17,0.8,0.02,0.0,44:54
0.0,0.0,0.0,0.06,0.71,0.23,0.0,44:56
0.0,0.0,0.0,0.01,0.86,0.11,0.02,44:58
0.0,0.0,0.0,0.0,0.02,0.98,0.0,45:0
0.0,0.0,0.0,0.04,0.17,0.79,0.0,45:6
0.0,0.0,0.0,0.02,0.03,0.95,0.0,45:8
0.0,0.0,0.0,0.01,0.04,0.95,0.0,45:1
0.0,0.0,0.0,0.92,0.04,0.04,0.0,45:12
0.0,0.0,0.0,0.87,0.0,0.12,0.0,45:14
0.0,0.0,0.0,1.0,0.0,0.0,0.0,45:16
0.0,0.0,0.0,0.99,0.0,0.0,0.0,45:18
0.0,0.0,0.0,0.0,0.87,0.13,0.0,45:2
0.0,0.0,0.0,0.0,0.99,0.01,0.0,45:22
0.0,0.0,0.0,0.0,0.61,0.39,0.0,45:24
0.0,0.0,0.0,0.0,0.84,0.16,0.0,45:26
0.0,0.0,0.0,0.0,0.95,0.05,0.0,45:28
0.0,0.0,0.0,0.0,0.99,0.01,0.0,45:3
0.0,0.0,0.0,0.0,0.47,0.53,0.0,45:32
0.0,0.0,0.0,0.0,0.99,0.0,0.0,45:34
0.0,0.0,0.0,0.0,0.98,0.01,0.0,45:36
0.0,0.0,0.0,0.0,0.62,0.3,0.08,45:38
0.0,0.0,0.03,0.0,0.37,0.56,0.04,45:4
0.0,0.0,0.0,0.0,0.43,0.56,0.01,45:42
0.0,0.0,0.0,0.01,0.21,0.79,0.0,45:44
0.0,0.0,0.0,0.0,1.0,0.0,0.0,45:46
0.0,0.0,0.0,0.0,1.0,0.0,0.0,45:48
0.0,0.0,0.0,0.0,0.48,0.52,0.0,46:0
0.0,0.0,0.0,0.1,0.89,0.0,0.0,46:4
0.0,0.0,0.01,0.02,0.82,0.12,0.04,46:6
0.0,0.0,0.0,0.02,0.62,0.34,0.01,46:8
0.0,0.0,0.0,0.01,0.26,0.73,0.01,46:1
0.0,0.0,0.0,0.0,0.75,0.25,0.0,46:12
0.0,0.0,0.0,0.01,0.68,0.29,0.02,46:14
0.0,0.0,0.0,0.01,0.27,0.71,0.01,46:16
0.0,0.0,0.0,0.07,0.44,0.48,0.0,46:18
0.0,0.0,0.0,0.02,0.67,0.3,0.0,46:22
0.0,0.0,0.0,0.93,0.07,0.0,0.0,46:3
0.0,0.0,0.01,0.04,0.15,0.75,0.05,46:46
0.0,0.0,0.0,0.02,0.06,0.92,0.0,46:48
0.0,0.0,0.0,0.01,0.77,0.21,0.01,46:5
0.0,0.0,0.0,0.29,0.65,0.03,0.03,46:52
0.0,0.0,0.0,0.27,0.72,0.0,0.0,46:54
0.0,0.0,0.0,0.04,0.43,0.53,0.0,46:56
0.0,0.0,0.0,0.0,0.96,0.04,0.0,46:58
0.0,0.0,0.0,0.0,0.96,0.04,0.0,47:0
0.0,0.0,0.0,0.0,0.42,0.57,0.01,47:6
0.0,0.0,0.04,0.0,0.9,0.03,0.03,47:8
0.0,0.0,0.0,0.0,0.03,0.96,0.0,47:1
0.0,0.0,0.0,0.0,0.04,0.96,0.0,47:12
0.0,0.0,0.0,0.0,0.22,0.12,0.66,47:14
0.0,0.0,0.0,0.0,0.3,0.7,0.0,47:16
0.0,0.0,0.0,0.0,0.85,0.14,0.01,47:18
0.0,0.0,0.0,0.06,0.53,0.4,0.0,47:2
0.0,0.0,0.01,0.09,0.32,0.56,0.01,47:22
0.0,0.0,0.0,0.34,0.45,0.18,0.03,47:24
0.0,0.0,0.0,0.0,0.08,0.91,0.0,47:26
0.0,0.0,0.0,0.01,0.27,0.71,0.01,47:28
0.0,0.0,0.0,0.0,0.13,0.87,0.0,47:3
0.0,0.0,0.0,0.98,0.01,0.01,0.0,47:32
0.0,0.0,0.0,0.34,0.21,0.43,0.01,47:34
0.0,0.0,0.03,0.16,0.35,0.32,0.13,47:36
0.0,0.0,0.0,0.01,0.74,0.21,0.03,47:38
0.0,0.0,0.0,0.03,0.23,0.73,0.01,47:4
0.0,0.0,0.0,0.02,0.36,0.61,0.0,47:42
0.0,0.0,0.0,0.85,0.13,0.02,0.0,47:44
0.0,0.0,0.0,0.23,0.28,0.41,0.07,47:46
0.0,0.0,0.0,1.0,0.0,0.0,0.0,47:48
0.0,0.0,0.0,1.0,0.0,0.0,0.0,47:5
0.0,0.0,0.0,0.04,0.41,0.55,0.0,47:52
0.0,0.0,0.03,0.12,0.25,0.57,0.03,47:54
0.0,0.0,0.0,0.19,0.38,0.41,0.02,47:56
0.0,0.0,0.0,0.3,0.18,0.52,0.0,47:58
0.0,0.0,0.0,0.26,0.7,0.03,0.0,48:0
0.0,0.0,0.0,0.57,0.41,0.02,0.0,48:6
0.0,0.0,0.0,0.04,0.93,0.03,0.0,48:8
0.0,0.0,0.0,0.18,0.74,0.07,0.0,48:1
0.0,0.0,0.0,0.48,0.51,0.0,0.0,48:12
0.0,0.0,0.0,0.78,0.21,0.0,0.01,48:14
0.03,0.0,0.0,0.04,0.83,0.09,0.0,48:16
0.0,0.0,0.0,0.04,0.16,0.8,0.0,48:18
0.0,0.0,0.0,0.06,0.21,0.73,0.0,48:2
0.0,0.0,0.0,0.01,0.8,0.2,0.0,48:22
0.0,0.0,0.0,0.0,0.54,0.45,0.01,48:24
0.0,0.0,0.0,0.0,0.28,0.72,0.0,48:28
0.0,0.0,0.0,0.0,0.66,0.34,0.0,48:3
0.0,0.0,0.0,0.03,0.95,0.03,0.0,48:32
0.0,0.0,0.0,0.05,0.93,0.01,0.0,48:34
0.0,0.0,0.0,0.0,0.99,0.01,0.0,48:36
0.0,0.0,0.0,0.0,0.97,0.01,0.02,48:38
0.0,0.0,0.0,0.04,0.89,0.06,0.01,48:4
0.0,0.0,0.0,0.1,0.89,0.01,0.0,48:42
0.0,0.0,0.0,0.12,0.86,0.02,0.0,48:44
0.0,0.0,0.0,0.01,0.98,0.01,0.0,48:46
0.0,0.0,0.0,0.01,0.96,0.02,0.0,48:48
0.0,0.0,0.0,0.0,0.77,0.23,0.0,48:5
0.0,0.0,0.01,0.0,0.68,0.3,0.01,48:52
0.0,0.0,0.0,0.01,0.85,0.09,0.05,48:54
0.0,0.0,0.0,0.27,0.73,0.0,0.0,48:56
0.0,0.0,0.0,0.01,0.99,0.01,0.0,48:58
0.03,0.0,0.0,0.03,0.87,0.07,0.0,49:0
0.0,0.0,0.0,0.75,0.23,0.01,0.0,49:6
0.0,0.0,0.0,0.13,0.87,0.0,0.0,49:8
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:12
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:14
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:16
0.0,0.0,0.0,0.72,0.04,0.24,0.01,49:18
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:22
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:24
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:26
0.0,0.0,0.0,0.98,0.0,0.02,0.0,49:28
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:32
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:34
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:36
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:38
0.0,0.0,0.0,0.28,0.68,0.03,0.0,49:4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,49:42
0.01,0.0,0.0,0.0,0.95,0.04,0.0,49:46
0.0,0.0,0.0,0.16,0.2,0.64,0.0,49:48
0.0,0.0,0.0,0.0,0.22,0.78,0.0,49:5
0.0,0.0,0.0,0.01,0.83,0.15,0.0,49:52
0.0,0.0,0.0,0.0,0.92,0.08,0.0,49:54
0.0,0.0,0.01,0.02,0.71,0.21,0.05,49:56
0.0,0.0,0.0,0.04,0.88,0.05,0.03,49:58
0.0,0.0,0.07,0.0,0.22,0.12,0.59,50:0
0.0,0.0,0.0,0.11,0.84,0.01,0.04,50:6
0.0,0.0,0.0,0.79,0.09,0.04,0.08,50:8
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50:1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50:12
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50:14
0.0,0.0,0.0,0.25,0.02,0.72,0.0,50:16
0.0,0.0,0.0,0.37,0.06,0.57,0.0,50:18
0.0,0.0,0.0,0.98,0.0,0.01,0.0,50:2
0.0,0.0,0.02,0.43,0.01,0.53,0.01,50:22
0.0,0.0,0.0,0.22,0.58,0.01,0.18,50:24
0.0,0.0,0.0,0.77,0.09,0.14,0.0,50:26
0.0,0.0,0.0,0.0,0.02,0.98,0.0,50:28
0.0,0.0,0.0,0.0,0.55,0.44,0.0,50:3
0.0,0.0,0.0,0.01,0.97,0.02,0.0,50:32
0.0,0.0,0.0,0.14,0.81,0.04,0.0,50:34
