angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,0.99,0.01,0.01,0.0,8:26
0.0,0.0,0.0,0.99,0.01,0.01,0.0,8:28
0.0,0.0,0.0,0.59,0.15,0.25,0.01,8:3
0.0,0.0,0.0,0.47,0.05,0.47,0.0,8:32
0.0,0.0,0.0,0.85,0.02,0.13,0.0,8:34
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:36
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:38
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:42
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:44
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:46
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:48
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:52
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:54
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:56
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8:58
0.0,0.0,0.0,0.99,0.0,0.01,0.0,9:0
0.0,0.0,0.0,0.0,0.99,0.01,0.0,9:6
0.0,0.0,0.0,0.02,0.76,0.22,0.0,9:8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,9:1
0.0,0.0,0.0,0.0,0.02,0.98,0.0,9:12
0.0,0.0,0.0,0.0,0.0,1.0,0.0,9:14
0.0,0.0,0.0,0.0,0.03,0.97,0.0,9:16
0.0,0.0,0.0,0.0,0.01,0.99,0.0,9:18
0.0,0.0,0.0,0.01,0.02,0.97,0.0,9:2
0.0,0.0,0.0,0.03,0.14,0.83,0.0,9:22
0.0,0.0,0.0,0.72,0.19,0.09,0.0,9:24
0.0,0.0,0.0,0.98,0.02,0.01,0.0,9:26
0.0,0.0,0.0,0.95,0.04,0.01,0.0,9:28
0.0,0.0,0.0,0.88,0.11,0.01,0.0,9:3
0.0,0.0,0.01,0.08,0.23,0.68,0.01,9:32
0.0,0.0,0.0,0.0,0.03,0.97,0.0,9:36
0.0,0.0,0.0,0.82,0.09,0.08,0.01,9:38
0.0,0.0,0.0,1.0,0.0,0.0,0.0,9:4
0.0,0.0,0.0,0.86,0.04,0.1,0.01,9:46
0.0,0.0,0.0,0.16,0.74,0.1,0.0,9:48
0.0,0.0,0.0,0.0,0.13,0.87,0.0,9:52
0.0,0.0,0.0,0.09,0.89,0.02,0.0,9:54
0.0,0.0,0.0,0.01,0.99,0.0,0.0,9:56
0.0,0.0,0.0,0.0,0.99,0.0,0.0,9:58
0.0,0.0,0.0,0.01,0.99,0.0,0.0,10:0
0.0,0.0,0.0,0.08,0.86,0.05,0.0,10:6
0.0,0.0,0.0,0.01,0.97,0.02,0.0,10:8
0.0,0.0,0.0,0.01,0.99,0.0,0.0,10:1
0.0,0.0,0.0,0.04,0.68,0.28,0.0,10:12
0.0,0.0,0.0,0.01,0.89,0.1,0.0,10:14
0.0,0.0,0.0,0.0,0.85,0.15,0.0,10:16
0.0,0.0,0.0,0.0,0.99,0.0,0.0,10:18
0.0,0.0,0.02,0.0,0.76,0.22,0.0,10:2
